clientReference,accountReference,effectiveDateTime
30000,330000,2024-02-29
30001,330001,2024-02-28
30002,330002,2024-02-27
30003,330003,2024-02-26
30004,330004,2024-02-25
30005,330005,2024-02-24
30006,330006,2024-02-23
30007,330007,2024-02-22
30008,330008,2024-02-21
30009,330009,2024-02-20
30010,330010,2024-02-19
30011,330011,2024-02-18
30012,330012,2024-02-17
30013,330013,2024-02-16
30014,330014,2024-02-15
30015,330015,2024-02-14
30016,330016,2024-02-13
30017,330017,2024-02-12
30018,330018,2024-02-11
30019,330019,2024-02-10
30020,330020,2024-02-09
30021,330021,2024-02-08
30022,330022,2024-02-07
30023,330023,2024-02-06
30024,330024,2024-02-05
30025,330025,2024-02-04
30026,330026,2024-02-03
30027,330027,2024-02-02
30028,330028,2024-02-01
30029,330029,2024-01-31
30030,330030,2024-01-30
30031,330031,2024-01-29
30032,330032,2024-01-28
30033,330033,2024-01-27
30034,330034,2024-01-26
30035,330035,2024-01-25
30036,330036,2024-01-24
30037,330037,2024-01-23
30038,330038,2024-01-22
30039,330039,2024-01-21
30040,330040,2024-01-20
30041,330041,2024-01-19
30042,330042,2024-01-18
30043,330043,2024-01-17
30044,330044,2024-01-16
30045,330045,2024-01-15
30046,330046,2024-01-14
30047,330047,2024-01-13
30048,330048,2024-01-12
30049,330049,2024-01-11
30050,330050,2024-01-10
30051,330051,2024-01-09
30052,330052,2024-01-08
30053,330053,2024-01-07
30054,330054,2024-01-06
30055,330055,2024-01-05
30056,330056,2024-01-04
30057,330057,2024-01-03
30058,330058,2024-01-02
30059,330059,2024-01-01
30060,330060,2023-12-31
30061,330061,2023-12-30
30062,330062,2023-12-29
30063,330063,2023-12-28
30064,330064,2023-12-27
30065,330065,2023-12-26
30066,330066,2023-12-25
30067,330067,2023-12-24
30068,330068,2023-12-23
30069,330069,2023-12-22
30070,330070,2023-12-21
30071,330071,2023-12-20
30072,330072,2023-12-19
30073,330073,2023-12-18
30074,330074,2023-12-17
30075,330075,2023-12-16
30076,330076,2023-12-15
30077,330077,2023-12-14
30078,330078,2023-12-13
30079,330079,2023-12-12
30080,330080,2023-12-11
30081,330081,2023-12-10
30082,330082,2023-12-09
30083,330083,2023-12-08
30084,330084,2023-12-07
30085,330085,2023-12-06
30086,330086,2023-12-05
30087,330087,2023-12-04
30088,330088,2023-12-03
30089,330089,2023-12-02
30090,330090,2023-12-01
30091,330091,2023-11-30
30092,330092,2023-11-29
30093,330093,2023-11-28
30094,330094,2023-11-27
30095,330095,2023-11-26
30096,330096,2023-11-25
30097,330097,2023-11-24
30098,330098,2023-11-23
30099,330099,2023-11-22
30100,330100,2023-11-21
30101,330101,2023-11-20
30102,330102,2023-11-19
30103,330103,2023-11-18
30104,330104,2023-11-17
30105,330105,2023-11-16
30106,330106,2023-11-15
30107,330107,2023-11-14
30108,330108,2023-11-13
30109,330109,2023-11-12
30110,330110,2023-11-11
30111,330111,2023-11-10
30112,330112,2023-11-09
30113,330113,2023-11-08
30114,330114,2023-11-07
30115,330115,2023-11-06
30116,330116,2023-11-05
30117,330117,2023-11-04
30118,330118,2023-11-03
30119,330119,2023-11-02
30120,330120,2023-11-01
30121,330121,2023-10-31
30122,330122,2023-10-30
30123,330123,2023-10-29
30124,330124,2023-10-28
30125,330125,2023-10-27
30126,330126,2023-10-26
30127,330127,2023-10-25
30128,330128,2023-10-24
30129,330129,2023-10-23
30130,330130,2023-10-22
30131,330131,2023-10-21
30132,330132,2023-10-20
30133,330133,2023-10-19
30134,330134,2023-10-18
30135,330135,2023-10-17
30136,330136,2023-10-16
30137,330137,2023-10-15
30138,330138,2023-10-14
30139,330139,2023-10-13
30140,330140,2023-10-12
30141,330141,2023-10-11
30142,330142,2023-10-10
30143,330143,2023-10-09
30144,330144,2023-10-08
30145,330145,2023-10-07
30146,330146,2023-10-06
30147,330147,2023-10-05
30148,330148,2023-10-04
30149,330149,2023-10-03
30150,330150,2023-10-02
30151,330151,2023-10-01
30152,330152,2023-09-30
30153,330153,2023-09-29
30154,330154,2023-09-28
30155,330155,2023-09-27
30156,330156,2023-09-26
30157,330157,2023-09-25
30158,330158,2023-09-24
30159,330159,2023-09-23
30160,330160,2023-09-22
30161,330161,2023-09-21
30162,330162,2023-09-20
30163,330163,2023-09-19
30164,330164,2023-09-18
30165,330165,2023-09-17
30166,330166,2023-09-16
30167,330167,2023-09-15
30168,330168,2023-09-14
30169,330169,2023-09-13
30170,330170,2023-09-12
30171,330171,2023-09-11
30172,330172,2023-09-10
30173,330173,2023-09-09
30174,330174,2023-09-08
30175,330175,2023-09-07
30176,330176,2023-09-06
30177,330177,2023-09-05
30178,330178,2023-09-04
30179,330179,2023-09-03
30180,330180,2023-09-02
30181,330181,2023-09-01
30182,330182,2023-08-31
30183,330183,2023-08-30
30184,330184,2023-08-29
30185,330185,2023-08-28
30186,330186,2023-08-27
30187,330187,2023-08-26
30188,330188,2023-08-25
30189,330189,2023-08-24
30190,330190,2023-08-23
30191,330191,2023-08-22
30192,330192,2023-08-21
30193,330193,2023-08-20
30194,330194,2023-08-19
30195,330195,2023-08-18
30196,330196,2023-08-17
30197,330197,2023-08-16
30198,330198,2023-08-15
30199,330199,2023-08-14
30200,330200,2023-08-13
30201,330201,2023-08-12
30202,330202,2023-08-11
30203,330203,2023-08-10
30204,330204,2023-08-09
30205,330205,2023-08-08
30206,330206,2023-08-07
30207,330207,2023-08-06
30208,330208,2023-08-05
30209,330209,2023-08-04
30210,330210,2023-08-03
30211,330211,2023-08-02
30212,330212,2023-08-01
30213,330213,2023-07-31
30214,330214,2023-07-30
30215,330215,2023-07-29
30216,330216,2023-07-28
30217,330217,2023-07-27
30218,330218,2023-07-26
30219,330219,2023-07-25
30220,330220,2023-07-24
30221,330221,2023-07-23
30222,330222,2023-07-22
30223,330223,2023-07-21
30224,330224,2023-07-20
30225,330225,2023-07-19
30226,330226,2023-07-18
30227,330227,2023-07-17
30228,330228,2023-07-16
30229,330229,2023-07-15
30230,330230,2023-07-14
30231,330231,2023-07-13
30232,330232,2023-07-12
30233,330233,2023-07-11
30234,330234,2023-07-10
30235,330235,2023-07-09
30236,330236,2023-07-08
30237,330237,2023-07-07
30238,330238,2023-07-06
30239,330239,2023-07-05
30240,330240,2023-07-04
30241,330241,2023-07-03
30242,330242,2023-07-02
30243,330243,2023-07-01
30244,330244,2023-06-30
30245,330245,2023-06-29
30246,330246,2023-06-28
30247,330247,2023-06-27
30248,330248,2023-06-26
30249,330249,2023-06-25
30250,330250,2023-06-24
30251,330251,2023-06-23
30252,330252,2023-06-22
30253,330253,2023-06-21
30254,330254,2023-06-20
30255,330255,2023-06-19
30256,330256,2023-06-18
30257,330257,2023-06-17
30258,330258,2023-06-16
30259,330259,2023-06-15
30260,330260,2023-06-14
30261,330261,2023-06-13
30262,330262,2023-06-12
30263,330263,2023-06-11
30264,330264,2023-06-10
30265,330265,2023-06-09
30266,330266,2023-06-08
30267,330267,2023-06-07
30268,330268,2023-06-06
30269,330269,2023-06-05
30270,330270,2023-06-04
30271,330271,2023-06-03
30272,330272,2023-06-02
30273,330273,2023-06-01
30274,330274,2023-05-31
30275,330275,2023-05-30
30276,330276,2023-05-29
30277,330277,2023-05-28
30278,330278,2023-05-27
30279,330279,2023-05-26
30280,330280,2023-05-25
30281,330281,2023-05-24
30282,330282,2023-05-23
30283,330283,2023-05-22
30284,330284,2023-05-21
30285,330285,2023-05-20
30286,330286,2023-05-19
30287,330287,2023-05-18
30288,330288,2023-05-17
30289,330289,2023-05-16
30290,330290,2023-05-15
30291,330291,2023-05-14
30292,330292,2023-05-13
30293,330293,2023-05-12
30294,330294,2023-05-11
30295,330295,2023-05-10
30296,330296,2023-05-09
30297,330297,2023-05-08
30298,330298,2023-05-07
30299,330299,2023-05-06
30300,330300,2023-05-05
30301,330301,2023-05-04
30302,330302,2023-05-03
30303,330303,2023-05-02
30304,330304,2023-05-01
30305,330305,2023-04-30
30306,330306,2023-04-29
30307,330307,2023-04-28
30308,330308,2023-04-27
30309,330309,2023-04-26
30310,330310,2023-04-25
30311,330311,2023-04-24
30312,330312,2023-04-23
30313,330313,2023-04-22
30314,330314,2023-04-21
30315,330315,2023-04-20
30316,330316,2023-04-19
30317,330317,2023-04-18
30318,330318,2023-04-17
30319,330319,2023-04-16
30320,330320,2023-04-15
30321,330321,2023-04-14
30322,330322,2023-04-13
30323,330323,2023-04-12
30324,330324,2023-04-11
30325,330325,2023-04-10
30326,330326,2023-04-09
30327,330327,2023-04-08
30328,330328,2023-04-07
30329,330329,2023-04-06
30330,330330,2023-04-05
30331,330331,2023-04-04
30332,330332,2023-04-03
30333,330333,2023-04-02
30334,330334,2023-04-01
30335,330335,2023-03-31
30336,330336,2023-03-30
30337,330337,2023-03-29
30338,330338,2023-03-28
30339,330339,2023-03-27
30340,330340,2023-03-26
30341,330341,2023-03-25
30342,330342,2023-03-24
30343,330343,2023-03-23
30344,330344,2023-03-22
30345,330345,2023-03-21
30346,330346,2023-03-20
30347,330347,2023-03-19
30348,330348,2023-03-18
30349,330349,2023-03-17
30350,330350,2023-03-16
30351,330351,2023-03-15
30352,330352,2023-03-14
30353,330353,2023-03-13
30354,330354,2023-03-12
30355,330355,2023-03-11
30356,330356,2023-03-10
30357,330357,2023-03-09
30358,330358,2023-03-08
30359,330359,2023-03-07
30360,330360,2023-03-06
30361,330361,2023-03-05
30362,330362,2023-03-04
30363,330363,2023-03-03
30364,330364,2023-03-02
30365,330365,2023-03-01
30366,330366,2023-02-28
30367,330367,2023-02-27
30368,330368,2023-02-26
30369,330369,2023-02-25
30370,330370,2023-02-24
30371,330371,2023-02-23
30372,330372,2023-02-22
30373,330373,2023-02-21
30374,330374,2023-02-20
30375,330375,2023-02-19
30376,330376,2023-02-18
30377,330377,2023-02-17
30378,330378,2023-02-16
30379,330379,2023-02-15
30380,330380,2023-02-14
30381,330381,2023-02-13
30382,330382,2023-02-12
30383,330383,2023-02-11
30384,330384,2023-02-10
30385,330385,2023-02-09
30386,330386,2023-02-08
30387,330387,2023-02-07
30388,330388,2023-02-06
30389,330389,2023-02-05
30390,330390,2023-02-04
30391,330391,2023-02-03
30392,330392,2023-02-02
30393,330393,2023-02-01
30394,330394,2023-01-31
30395,330395,2023-01-30
30396,330396,2023-01-29
30397,330397,2023-01-28
30398,330398,2023-01-27
30399,330399,2023-01-26
30400,330400,2023-01-25
30401,330401,2023-01-24
30402,330402,2023-01-23
30403,330403,2023-01-22
30404,330404,2023-01-21
30405,330405,2023-01-20
30406,330406,2023-01-19
30407,330407,2023-01-18
30408,330408,2023-01-17
30409,330409,2023-01-16
30410,330410,2023-01-15
30411,330411,2023-01-14
30412,330412,2023-01-13
30413,330413,2023-01-12
30414,330414,2023-01-11
30415,330415,2023-01-10
30416,330416,2023-01-09
30417,330417,2023-01-08
30418,330418,2023-01-07
30419,330419,2023-01-06
30420,330420,2023-01-05
30421,330421,2023-01-04
30422,330422,2023-01-03
30423,330423,2023-01-02
30424,330424,2023-01-01
30425,330425,2022-12-31
30426,330426,2022-12-30
30427,330427,2022-12-29
30428,330428,2022-12-28
30429,330429,2022-12-27
30430,330430,2022-12-26
30431,330431,2022-12-25
30432,330432,2022-12-24
30433,330433,2022-12-23
30434,330434,2022-12-22
30435,330435,2022-12-21
30436,330436,2022-12-20
30437,330437,2022-12-19
30438,330438,2022-12-18
30439,330439,2022-12-17
30440,330440,2022-12-16
30441,330441,2022-12-15
30442,330442,2022-12-14
30443,330443,2022-12-13
30444,330444,2022-12-12
30445,330445,2022-12-11
30446,330446,2022-12-10
30447,330447,2022-12-09
30448,330448,2022-12-08
30449,330449,2022-12-07
30450,330450,2022-12-06
30451,330451,2022-12-05
30452,330452,2022-12-04
30453,330453,2022-12-03
30454,330454,2022-12-02
30455,330455,2022-12-01
30456,330456,2022-11-30
30457,330457,2022-11-29
30458,330458,2022-11-28
30459,330459,2022-11-27
30460,330460,2022-11-26
30461,330461,2022-11-25
30462,330462,2022-11-24
30463,330463,2022-11-23
30464,330464,2022-11-22
30465,330465,2022-11-21
30466,330466,2022-11-20
30467,330467,2022-11-19
30468,330468,2022-11-18
